BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
7.94,0,0,0,0,0,0,7.94,0,0,MAIOR 4H
0,3.96,0,0,0,0,0,3.96,0,0,2-4H
0,0,0,0,0,0,4.15,0,0,0,MAIOR 4H
3.87,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,2.95,0,2-4H
4.98,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,4.22,0,0,0,0,0,0,MAIOR 4H
0,0,0,3.25,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.14,0,0,0,2-4H
0,0,0,0,0,0,0,7.06,0,0,MAIOR 4H
0,0,0,0,0,0,1.08,0,0,0,1-2H
0,0,0,0,0,0,0,0,8.18,0,MAIOR 4H
0,0,0,0,0,0,0,4.16,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,4.18,0,MAIOR 4H
0,0,0,10.99,0,0,0,10.99,0,0,MAIOR 4H
0,0,0,0,0,0,2.22,0,0,0,2-4H
0,0,0,1.01,0,0,0,0,0,0,1-2H
0,0,0,0,0,2.12,0,0,0,0,2-4H
0,0,0,1.11,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,2.29,0,0,2-4H
0,0,0,0,0,0,0,1.95,0,0,1-2H
0,0,0,0,0,0,0,0,1.3,0,1-2H
0,0,0,0,0,0,0,0,5.23,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,3.94,2-4H
0,0,0,5.72,0,0,0,5.72,0,0,MAIOR 4H
0,0,0,0,0,0,7.18,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,6.88,MAIOR 4H
0,0,0,0,0,0,5.32,0,0,5.32,MAIOR 4H
0,0,0,0,0,0,0,6.06,0,0,MAIOR 4H
6.76,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,1.2,0,0,0,0,1.2,0,1-2H
3.91,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,3.03,0,0,0,2-4H
0,0,0,0,0,0,0,4.19,0,0,MAIOR 4H
0,0,0,0,0,0,0,6.16,0,0,MAIOR 4H
0,0,0,0,0,0,0,11.92,0,0,MAIOR 4H
0,0,0,0,0,0,0,3.79,0,0,2-4H
0,0,0,0,0,0,0,5.05,0,0,MAIOR 4H
0,0,0,1.08,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,0,0,4.73,0,MAIOR 4H
0,0,0,0,7.03,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,3.03,0,0,0,2-4H
0,0,0,5.94,0,0,0,0,0,0,MAIOR 4H
2.82,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,4.76,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,2.1,2-4H
0,2.73,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,7.02,0,0,MAIOR 4H
0,0,0,1.18,0,0,0,0,0,0,1-2H
0,0,0,0,0,0,8.15,0,0,0,MAIOR 4H
2.97,0,0,0,0,0,0,2.97,0,0,2-4H
0,0,0,0,0,0,6.66,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,2.78,2-4H
0,0,0,0,0,0,0,0,6.98,0,MAIOR 4H
0,0,0,1.23,0,0,0,0,0,0,1-2H
0,0,0,1.99,0,0,0,0,0,0,1-2H
3.1,0,0,0,0,0,3.1,0,0,0,2-4H
0,0,0,0,0,0,3.96,0,0,0,2-4H
0,0,0,0,0,0,0,2.72,0,0,2-4H
0,0,0,0,0,0,0,5.97,0,0,MAIOR 4H
0,0,0,5.01,0,0,0,0,0,0,MAIOR 4H
11.01,0,0,11.01,0,0,0,0,0,0,MAIOR 4H
0,0,0,9.98,0,0,0,0,0,0,MAIOR 4H
0,1.94,0,0,0,0,0,0,0,0,1-2H
7.02,0,0,0,0,0,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,2.23,0,0,0,2-4H
0,0,0,0,0,0,4,0,0,0,MAIOR 4H
0,0,0,0,0,0,6.96,0,0,0,MAIOR 4H
