TEMPO,NRO_IMPACTO,NRO_AVALIACAO,TIPO
3.37,4,6,MICRO
3.21,4,6,MICRO
3.13,4,6,MICRO
2.79,4,6,MICRO
7.21,4,6,SIHOSP
4.05,4,6,MICRO
3.83,4,6,ERRO
7.89,4,6,MICRO
3.87,4,6,ERRO
1.04,4,6,ERRO
4.19,4,6,BENNER
5.88,4,6,IMPRESSORA
1.1,4,6,BENNER
6.91,4,6,ACESSO
4.2,4,6,MICRO
7.15,4,6,IMPRESSORA
7.09,3,6,BENNER
6.35,4,6,IMPRESSORA
6.2,4,6,IMPRESSORA
1.13,4,6,ERRO
7.94,4,6,BENNER
3.96,4,6,ERRO
3.87,4,6,BENNER
4.98,4,6,BENNER
3.25,4,6,MICRO
4.18,4,6,IMPRESSORA
10.99,4,6,MICRO
2.22,3,6,ACESSO
5.72,4,6,MICRO
7.18,4,6,ACESSO
5.32,4,6,SIHOSP
6.76,1,6,BENNER
11.92,4,6,ERRO
3.79,4,6,ERRO
5.05,4,6,ERRO
3.03,4,6,ACESSO
7.02,4,6,ERRO
2.78,4,6,SIHOSP
3.1,4,6,BENNER
11.01,4,6,MICRO
2.23,4,6,ACESSO
6.96,4,6,ACESSO
7.07,4,6,ACESSO
1.28,4,6,ACESSO
1.07,4,6,ACESSO
5.09,4,6,BENNER
3.74,4,6,MICRO
1.78,4,6,ACESSO
1.18,4,6,ACESSO
3.88,4,6,MICRO
3.19,4,6,SIHOSP
1.18,4,6,SIHOSP
8.16,0,-1,BENNER
4.17,4,6,SIHOSP
1.11,4,6,SIHOSP
6.89,4,6,ERRO
8.02,4,6,ERRO
5.17,4,6,BENNER
7.84,4,6,ERRO
6,4,6,MICRO
4.59,4,6,SIHOSP
3.27,4,6,MICRO
1.06,4,6,ERRO
4.02,4,-6,SIHOSP
4,4,6,MICRO
5.19,4,6,ERRO
3.2,4,6,ACESSO
6.2,4,6,IMPRESSORA
1.26,4,6,IMPRESSORA
1.3,4,6,IMPRESSORA
1.98,4,6,MICRO
4.58,4,6,BENNER
6.15,4,6,IMPRESSORA
1.91,4,-6,ACESSO
6.2,4,6,BENNER
8.22,4,6,BENNER
8,4,6,IMPRESSORA
2.26,4,6,MICRO
5.1,0,6,BENNER
2.04,4,6,MICRO
1.08,4,6,MICRO
4.23,4,6,IMPRESSORA
5.26,4,6,MICRO
1.23,4,6,IMPRESSORA
5.95,4,6,SIHOSP
4.05,4,6,BENNER
7.11,4,6,BENNER
10.29,4,-1,BENNER
2.74,4,6,ACESSO
3.13,4,6,MICRO
2.27,4,6,IMPRESSORA
9.98,4,6,MICRO
2.94,4,6,SIHOSP
3.69,4,6,ACESSO
2.26,4,6,ACESSO
1,4,6,MICRO
5.12,4,6,SIHOSP
6.11,4,6,IMPRESSORA
1.3,4,6,MICRO
4.81,4,6,BENNER
2.18,4,6,SIHOSP
2.84,4,6,MICRO
2.16,4,6,SIHOSP
4.99,4,6,MICRO
1.86,1,6,BENNER
1.4,4,6,ERRO
3.94,4,6,BENNER
1.04,4,6,ERRO
5.97,4,6,ACESSO
4.95,4,6,ERRO
6.35,4,6,IMPRESSORA
2,4,6,BENNER
2.96,4,6,BENNER
1.02,4,6,BENNER
1.99,4,6,IMPRESSORA
2.81,4,6,BENNER
1.05,4,6,IMPRESSORA
5.95,4,-1,BENNER
1.05,4,6,ACESSO
7.13,4,6,ERRO
2.04,4,6,MICRO
1.91,4,6,BENNER
3.18,4,6,MICRO
6,4,6,MICRO
4.22,4,6,BENNER
8.17,4,6,ACESSO
8.06,4,6,SIHOSP
9.12,4,6,ACESSO
3.02,4,6,SIHOSP
5.19,4,6,BENNER
1.04,4,6,IMPRESSORA
6.81,0,1,ERRO
6.97,4,6,MICRO
1.04,4,6,ACESSO
3.43,4,-6,BENNER
3.21,4,6,ACESSO
5.28,4,6,MICRO
1.05,4,6,ACESSO
2.09,4,6,ERRO
2.93,4,6,ACESSO
1.27,4,6,BENNER
1.22,4,6,ERRO
2.7,4,6,BENNER
5.91,0,6,ERRO
5.98,0,6,ERRO
11.67,4,6,ERRO
1.16,3,6,BENNER
4.22,4,6,BENNER
7.99,4,6,MICRO
3.72,4,6,BENNER
1.22,4,6,SIHOSP
1.1,4,6,MICRO
2.17,4,6,MICRO
4.03,4,6,MICRO
1.08,4,6,MICRO
1.68,4,6,ACESSO
1.11,4,6,ACESSO
1.01,4,6,MICRO
1.01,4,6,BENNER
1.08,4,6,ACESSO
1.01,4,6,ERRO
1.04,4,6,ERRO
1.11,0,6,ERRO
9.9,4,6,IMPRESSORA
2.87,4,6,ERRO
1.82,4,6,MICRO
3.1,4,6,ACESSO
5.09,4,6,MICRO
5.07,4,6,ERRO
2.2,4,6,SIHOSP
3.91,4,6,SIHOSP
4.21,4,6,IMPRESSORA
6.36,4,6,MICRO
1.99,4,6,BENNER
1.17,4,6,MICRO
4.24,4,6,SIHOSP
4.98,4,6,MICRO
1.04,4,6,BENNER
1.09,4,6,IMPRESSORA
4.87,4,6,MICRO
5.05,4,-6,SIHOSP
10.08,4,6,BENNER
5.74,4,6,ACESSO
4.96,4,6,MICRO
1.15,4,6,BENNER
1.81,4,6,ACESSO
2.76,4,6,BENNER
1.78,4,6,ACESSO
2.7,4,6,ACESSO
4.11,4,6,MICRO
2.26,4,6,MICRO
1.2,4,6,MICRO
2.25,4,6,ERRO
1.27,4,6,MICRO
3.06,4,6,MICRO
1.11,4,6,BENNER
1.1,4,6,ACESSO
9.15,3,1,BENNER
2.08,4,6,ACESSO
4.3,4,6,IMPRESSORA
6.18,4,6,MICRO
3.04,4,6,MICRO
2.89,4,6,IMPRESSORA
2.02,4,6,ERRO
2.02,4,6,IMPRESSORA
2.02,4,6,IMPRESSORA
2.31,4,6,SIHOSP
1.09,4,6,BENNER
5.01,4,6,MICRO
1.05,4,6,ACESSO
5.02,4,6,MICRO
2.78,4,6,ERRO
9.14,4,6,MICRO
2.12,4,6,BENNER
7,4,1,ERRO
4.98,4,6,IMPRESSORA
1.76,4,6,MICRO
4.92,4,6,IMPRESSORA
2.27,4,6,MICRO
4,4,6,MICRO
1,4,6,ACESSO
5.05,4,6,BENNER
4,4,6,IMPRESSORA
4.04,0,6,ACESSO
2.99,4,6,IMPRESSORA
1.04,4,6,MICRO
1.18,4,6,MICRO
2.01,4,6,IMPRESSORA
10.94,4,6,MICRO
5.75,4,6,BENNER
5.83,4,6,SIHOSP
1.87,4,6,BENNER
9.95,4,6,ACESSO
5.93,4,6,MICRO
9.69,4,6,ACESSO
5.79,4,6,ACESSO
4.67,4,6,ERRO
4.97,4,6,SIHOSP
3.96,4,6,MICRO
5.75,4,6,MICRO
1.19,4,6,MICRO
2.15,4,6,MICRO
1.1,4,6,MICRO
1.15,4,6,MICRO
2.1,4,6,MICRO
2.05,4,6,IMPRESSORA
1.36,4,6,MICRO
8.03,4,6,ERRO
1.37,4,6,IMPRESSORA
5.21,4,6,IMPRESSORA
1.25,4,6,ACESSO
2.05,4,6,ERRO
1.29,4,6,MICRO
1.28,4,6,IMPRESSORA
7.69,4,6,ACESSO
1.35,4,6,IMPRESSORA
11.27,4,6,SIHOSP
4.05,3,6,BENNER
2.97,4,6,BENNER
1.25,4,6,ERRO
1.38,4,6,IMPRESSORA
5.88,4,6,SIHOSP
1.05,4,6,IMPRESSORA
5.76,4,6,ERRO
4.1,0,6,SIHOSP
1.21,4,6,SIHOSP
1.02,4,6,MICRO
5.9,4,6,MICRO
2.31,4,6,SIHOSP
4.25,4,6,MICRO
4.31,4,6,MICRO
2.38,4,6,MICRO
4.31,4,6,MICRO
10.22,4,6,MICRO
1.18,4,6,MICRO
1.11,4,6,ACESSO
1.3,4,6,ACESSO
1.08,4,6,MICRO
1.91,4,6,BENNER
1.05,4,6,IMPRESSORA
1.89,4,6,MICRO
3.87,4,6,MICRO
6.78,4,6,ERRO
2.76,4,6,ERRO
1.95,4,6,ERRO
7.06,4,6,ERRO
9.23,4,6,MICRO
4.73,4,6,ACESSO
11.01,4,6,MICRO
5.76,4,6,MICRO
9.07,4,6,ACESSO
1.02,4,6,IMPRESSORA
7.81,3,6,MICRO
10.23,1,6,ACESSO
1.06,3,6,ACESSO
3.94,4,6,IMPRESSORA
1.36,4,6,MICRO
1.14,4,6,MICRO
1.03,4,6,MICRO
1,3,6,MICRO
2.01,1,6,SIHOSP
11.23,4,6,IMPRESSORA
6.88,4,6,MICRO
2.91,4,6,MICRO
4.05,4,6,MICRO
11.3,3,6,ERRO
1.05,0,6,BENNER
3.27,4,6,MICRO
3.17,4,6,ACESSO
3.13,4,6,MICRO
3.04,4,6,ACESSO
1,4,6,ERRO
5.94,4,6,MICRO
8,4,6,MICRO
2.96,4,6,IMPRESSORA
2.13,4,6,MICRO
1.94,4,6,BENNER
1.84,4,6,MICRO
6.7,4,6,IMPRESSORA
1.77,4,6,MICRO
6.1,4,6,IMPRESSORA
1.01,0,6,BENNER
4.83,4,6,IMPRESSORA
8.89,4,6,BENNER
3.93,4,6,ACESSO
1.02,4,6,MICRO
4.97,4,6,BENNER
6.92,4,6,ACESSO
8.28,4,6,MICRO
8.27,4,6,MICRO
6.21,4,6,SIHOSP
3.74,3,6,MICRO
1.95,4,6,BENNER
5.19,4,6,IMPRESSORA
2.22,4,-1,ACESSO
8.83,4,6,MICRO
3.9,4,6,IMPRESSORA
2.98,4,6,MICRO
1.3,4,6,ERRO
1.23,4,6,MICRO
7.05,4,6,ACESSO
2.01,4,6,MICRO
6.98,4,6,MICRO
6.14,4,6,BENNER
5.85,3,6,ACESSO
10.23,4,6,IMPRESSORA
5.26,4,6,MICRO
3.03,4,6,MICRO
3.99,4,6,MICRO
3.07,4,6,IMPRESSORA
1.07,4,6,ERRO
4.77,4,6,MICRO
4.73,4,6,ERRO
4.75,4,6,ERRO
5.35,4,6,MICRO
7.9,4,-6,IMPRESSORA
2.87,4,-6,BENNER
2.92,4,6,MICRO
4.04,4,6,ACESSO
7.96,4,6,ERRO
1.1,4,6,SIHOSP
7.04,4,6,IMPRESSORA
1.01,4,6,BENNER
2.23,4,6,IMPRESSORA
2.23,4,6,SIHOSP
5.08,4,6,IMPRESSORA
5.24,4,6,IMPRESSORA
1.96,4,6,IMPRESSORA
1.16,4,6,BENNER
1.8,4,6,MICRO
1.85,4,6,MICRO
3.72,4,6,MICRO
5.92,4,6,MICRO
1.19,4,6,MICRO
8.93,1,6,SIHOSP
3.06,4,6,BENNER
1.82,4,6,BENNER
1.09,4,6,SIHOSP
1.2,4,6,ERRO
5.03,4,6,ERRO
4.72,4,6,MICRO
6.74,4,6,MICRO
2.94,4,6,MICRO
11,4,-1,ACESSO
1.07,4,6,ACESSO
6.25,4,6,ACESSO
3.91,4,6,ERRO
4.98,4,6,MICRO
2.08,4,6,IMPRESSORA
3.04,4,6,MICRO
2.02,4,6,ERRO
2.99,4,6,IMPRESSORA
2.01,4,6,IMPRESSORA
2.68,4,6,ACESSO
1.23,4,6,ACESSO
1.82,4,6,ERRO
1.24,4,6,IMPRESSORA
6.25,4,6,MICRO
3.79,4,6,ACESSO
1.13,4,6,MICRO
1.01,4,6,BENNER
2.01,4,6,MICRO
1.22,3,6,SIHOSP
1.02,4,6,ACESSO
1.06,4,6,ACESSO
10.27,4,6,IMPRESSORA
4.2,4,6,ERRO
5.02,4,6,SIHOSP
2.89,4,6,MICRO
5.91,4,6,SIHOSP
3.01,4,6,IMPRESSORA
6.58,4,6,SIHOSP
4.99,4,6,SIHOSP
3.02,3,6,SIHOSP
1.27,4,6,BENNER
3.25,4,-1,IMPRESSORA
2.19,4,6,ACESSO
3.75,4,6,ACESSO
9.59,4,6,IMPRESSORA
9.07,4,6,MICRO
4.85,4,6,MICRO
1.95,4,6,ACESSO
5.02,4,6,BENNER
6.99,4,6,MICRO
3.34,4,6,MICRO
1,4,6,MICRO
3.33,4,6,IMPRESSORA
2.02,4,6,ACESSO
10.88,4,6,SIHOSP
2.8,4,6,ACESSO
5.81,4,6,ACESSO
1.07,4,6,IMPRESSORA
9.31,3,6,SIHOSP
9.31,4,6,IMPRESSORA
11.12,4,-6,ACESSO
2,4,6,SIHOSP
1.76,4,6,ACESSO
8.15,4,6,MICRO
5.99,4,6,ERRO
1.96,4,6,MICRO
7.42,4,6,ERRO
4.85,4,6,ACESSO
6.73,4,-1,BENNER
8.15,4,6,ERRO
4.05,4,6,IMPRESSORA
3.37,4,6,ERRO
1.17,4,6,BENNER
1.03,4,6,MICRO
7.11,4,6,IMPRESSORA
1.12,4,6,MICRO
2.08,4,6,ACESSO
1.3,4,6,MICRO
2.25,4,6,MICRO
6.97,4,6,MICRO
1.02,4,6,ACESSO
3.87,4,6,BENNER
2.02,4,6,MICRO
2.82,4,6,SIHOSP
1.19,4,6,MICRO
7.18,4,6,MICRO
6.13,4,6,IMPRESSORA
8.77,4,6,SIHOSP
1.04,4,6,MICRO
1.81,4,6,ACESSO
1.02,4,6,BENNER
1.28,4,6,BENNER
