TEMPO,TIPO,ANO
41.45,ERRO,2010
90.56,SIHOSP,2010
14.57,MICRO,2010
58.39,SIHOSP,2010
66.38,MICRO,2010
6.35,SIHOSP,2010
2.3,SIHOSP,2010
58.29,MICRO,2010
11.5,SIHOSP,2010
16.41,SIHOSP,2010
20.62,SIHOSP,2010
17.3,MICRO,2010
62.59,ERRO,2010
13.58,SIHOSP,2010
4.61,ERRO,2010
6.59,MICRO,2010
65.59,MICRO,2010
6.58,MICRO,2010
5.54,MICRO,2010
1.4,MICRO,2010
18.51,SIHOSP,2010
56.36,MICRO,2010
7.29,SIHOSP,2010
79.41,SIHOSP,2010
57.29,MICRO,2010
57.29,MICRO,2010
57.29,MICRO,2010
4.57,ACESSO,2010
50.54,MICRO,2010
45.3,SIHOSP,2010
3.3,ERRO,2010
5.52,MICRO,2010
56.42,MICRO,2010
39.64,ERRO,2010
11.46,ACESSO,2010
26.4,MICRO,2010
6.35,MICRO,2010
5.34,IMPRESSORA,2010
34.41,IMPRESSORA,2010
2.43,SIHOSP,2010
50.59,ACESSO,2010
2.44,ERRO,2010
25.63,MICRO,2010
77.34,ACESSO,2010
17.64,SIHOSP,2010
2.56,SIHOSP,2010
3.55,MICRO,2010
10.59,MICRO,2010
10.59,IMPRESSORA,2010
10.58,ERRO,2010
32.53,MICRO,2010
18.58,MICRO,2010
2.34,MICRO,2010
14.67,SIHOSP,2010
34.36,SIHOSP,2010
49.37,ERRO,2010
1.54,MICRO,2010
12.36,ACESSO,2010
9.6,MICRO,2010
10.55,MICRO,2010
17.55,MICRO,2010
2.53,SIHOSP,2010
2.53,SIHOSP,2010
10.53,SIHOSP,2010
10.52,SIHOSP,2010
10.51,SIHOSP,2010
10.51,SIHOSP,2010
2.51,SIHOSP,2010
10.51,SIHOSP,2010
10.51,SIHOSP,2010
10.51,SIHOSP,2010
10.51,SIHOSP,2010
31.31,IMPRESSORA,2010
10.51,SIHOSP,2010
6.61,IMPRESSORA,2010
14.32,ERRO,2010
7.43,SIHOSP,2010
3.4,SIHOSP,2010
12.37,IMPRESSORA,2010
42.58,ERRO,2010
41.57,IMPRESSORA,2010
41.56,IMPRESSORA,2010
9.6,MICRO,2010
9.6,MICRO,2010
1.56,MICRO,2010
32.54,SIHOSP,2010
82.53,IMPRESSORA,2010
3.63,ERRO,2010
80.29,IMPRESSORA,2010
2.47,SIHOSP,2010
20.32,SIHOSP,2010
10.43,IMPRESSORA,2010
29.5,SIHOSP,2010
12.57,ACESSO,2010
44.33,MICRO,2010
90.33,IMPRESSORA,2010
90.33,IMPRESSORA,2010
44.31,MICRO,2010
17.32,SIHOSP,2010
4.4,ACESSO,2010
7.31,MICRO,2010
18.34,ERRO,2010
35.59,MICRO,2010
76.35,IMPRESSORA,2010
76.34,IMPRESSORA,2010
9.56,MICRO,2010
14.31,ACESSO,2010
17.31,ACESSO,2010
7.28,SIHOSP,2010
6.65,MICRO,2010
6.38,MICRO,2010
76.38,IMPRESSORA,2010
76.38,IMPRESSORA,2010
6.37,MICRO,2010
7.37,MICRO,2010
88.64,IMPRESSORA,2010
88.63,IMPRESSORA,2010
